,Vid_nr,Subtlety,Color,StartPos,Motivator,Vid_names,Iter_nr,ID
78,78,30,Bl,L,Mimic,mimic_flipped_pred_subt30_Black_Posx_350_InvisPreyLocInd_7.webm,v0,30_Bl_L_Mimic_v0
79,79,30,Bl,L,Mimic,mimic_flipped_pred_subt30_Black_Posx_350_InvisPreyLocInd_8.webm,v1,30_Bl_L_Mimic_v1
80,80,30,Bl,L,Mimic,mimic_flipped_pred_subt30_Black_Posx_350_InvisPreyLocInd_9.webm,v2,30_Bl_L_Mimic_v2
81,81,30,Bl,R,Mimic,mimic_flipped_pred_subt30_Black_Posx_850_InvisPreyLocInd_10.webm,v0,30_Bl_R_Mimic_v0
82,82,30,Bl,R,Mimic,mimic_flipped_pred_subt30_Black_Posx_850_InvisPreyLocInd_11.webm,v1,30_Bl_R_Mimic_v1
83,83,30,Bl,R,Mimic,mimic_flipped_pred_subt30_Black_Posx_850_InvisPreyLocInd_12.webm,v2,30_Bl_R_Mimic_v2
84,84,60,Bl,L,Mimic,mimic_flipped_pred_subt60_Black_Posx_350_InvisPreyLocInd_13.webm,v0,60_Bl_L_Mimic_v0
85,85,60,Bl,L,Mimic,mimic_flipped_pred_subt60_Black_Posx_350_InvisPreyLocInd_14.webm,v1,60_Bl_L_Mimic_v1
86,86,60,Bl,L,Mimic,mimic_flipped_pred_subt60_Black_Posx_350_InvisPreyLocInd_15.webm,v2,60_Bl_L_Mimic_v2
87,87,60,Bl,R,Mimic,mimic_flipped_pred_subt60_Black_Posx_850_InvisPreyLocInd_16.webm,v0,60_Bl_R_Mimic_v0
88,88,60,Bl,R,Mimic,mimic_flipped_pred_subt60_Black_Posx_850_InvisPreyLocInd_17.webm,v1,60_Bl_R_Mimic_v1
89,89,60,Bl,R,Mimic,mimic_flipped_pred_subt60_Black_Posx_850_InvisPreyLocInd_18.webm,v2,60_Bl_R_Mimic_v2
90,90,90,Bl,L,Mimic,mimic_flipped_pred_subt90_Black_Posx_350_InvisPreyLocInd_19.webm,v0,90_Bl_L_Mimic_v0
91,91,90,Bl,L,Mimic,mimic_flipped_pred_subt90_Black_Posx_350_InvisPreyLocInd_20.webm,v1,90_Bl_L_Mimic_v1
92,92,90,Bl,L,Mimic,mimic_flipped_pred_subt90_Black_Posx_350_InvisPreyLocInd_21.webm,v2,90_Bl_L_Mimic_v2
93,93,90,Bl,R,Mimic,mimic_flipped_pred_subt90_Black_Posx_850_InvisPreyLocInd_22.webm,v0,90_Bl_R_Mimic_v0
94,94,90,Bl,R,Mimic,mimic_flipped_pred_subt90_Black_Posx_850_InvisPreyLocInd_23.webm,v1,90_Bl_R_Mimic_v1
95,95,90,Bl,R,Mimic,mimic_flipped_pred_subt90_Black_Posx_850_InvisPreyLocInd_24.webm,v2,90_Bl_R_Mimic_v2
96,96,120,Bl,L,Mimic,mimic_flipped_pred_subt120_Black_Posx_350_InvisPreyLocInd_25.webm,v0,120_Bl_L_Mimic_v0
97,97,120,Bl,L,Mimic,mimic_flipped_pred_subt120_Black_Posx_350_InvisPreyLocInd_26.webm,v1,120_Bl_L_Mimic_v1
98,98,120,Bl,L,Mimic,mimic_flipped_pred_subt120_Black_Posx_350_InvisPreyLocInd_27.webm,v2,120_Bl_L_Mimic_v2
99,99,120,Bl,R,Mimic,mimic_flipped_pred_subt120_Black_Posx_850_InvisPreyLocInd_28.webm,v0,120_Bl_R_Mimic_v0
100,100,120,Bl,R,Mimic,mimic_flipped_pred_subt120_Black_Posx_850_InvisPreyLocInd_29.webm,v1,120_Bl_R_Mimic_v1
101,101,120,Bl,R,Mimic,mimic_flipped_pred_subt120_Black_Posx_850_InvisPreyLocInd_30.webm,v2,120_Bl_R_Mimic_v2
102,102,150,Bl,L,Mimic,mimic_flipped_pred_subt150_Black_Posx_350_InvisPreyLocInd_31.webm,v0,150_Bl_L_Mimic_v0
103,103,150,Bl,L,Mimic,mimic_flipped_pred_subt150_Black_Posx_350_InvisPreyLocInd_32.webm,v1,150_Bl_L_Mimic_v1
104,104,150,Bl,L,Mimic,mimic_flipped_pred_subt150_Black_Posx_350_InvisPreyLocInd_33.webm,v2,150_Bl_L_Mimic_v2
105,105,150,Bl,R,Mimic,mimic_flipped_pred_subt150_Black_Posx_850_InvisPreyLocInd_34.webm,v0,150_Bl_R_Mimic_v0
106,106,150,Bl,R,Mimic,mimic_flipped_pred_subt150_Black_Posx_850_InvisPreyLocInd_35.webm,v1,150_Bl_R_Mimic_v1
107,107,150,Bl,R,Mimic,mimic_flipped_pred_subt150_Black_Posx_850_InvisPreyLocInd_36.webm,v2,150_Bl_R_Mimic_v2
108,108,0,Gr,L,Mimic,mimic_flipped_pred_subt0_Grey_Posx_350_InvisPreyLocInd_36.webm,v0,0_Gr_L_Mimic_v0
109,109,0,Gr,L,Mimic,mimic_flipped_pred_subt0_Grey_Posx_350_InvisPreyLocInd_37.webm,v1,0_Gr_L_Mimic_v1
110,110,0,Gr,L,Mimic,mimic_flipped_pred_subt0_Grey_Posx_350_InvisPreyLocInd_38.webm,v2,0_Gr_L_Mimic_v2
111,111,0,Gr,R,Mimic,mimic_flipped_pred_subt0_Grey_Posx_850_InvisPreyLocInd_39.webm,v0,0_Gr_R_Mimic_v0
112,112,0,Gr,R,Mimic,mimic_flipped_pred_subt0_Grey_Posx_850_InvisPreyLocInd_40ed.webm,v1,0_Gr_R_Mimic_v1
113,113,0,Gr,R,Mimic,mimic_flipped_pred_subt0_Grey_Posx_850_InvisPreyLocInd_41.webm,v2,0_Gr_R_Mimic_v2
114,114,30,Gr,L,Mimic,mimic_flipped_pred_subt30_Grey_Posx_350_InvisPreyLocInd_42.webm,v0,30_Gr_L_Mimic_v0
115,115,30,Gr,L,Mimic,mimic_flipped_pred_subt30_Grey_Posx_350_InvisPreyLocInd_43.webm,v1,30_Gr_L_Mimic_v1
116,116,30,Gr,L,Mimic,mimic_flipped_pred_subt30_Grey_Posx_350_InvisPreyLocInd_44.webm,v2,30_Gr_L_Mimic_v2
